"United Nations, Department of Economic and Social Affairs",,,,,,,,,,,,,,,,,,,,,
"Population Division, Fertility and Family Planning Section",,,,,,,,,,,,,,,,,,,,,
"World Fertility Data 2012
AGE-SPECIFIC FERTILITY RATES, TOTAL FERTILITY AND MEAN AGE AT CHILDBEARING
Australia,36,Around 1970,1970,,2.86,51,172,190,102,45,12,1,27.1,Registration,UNSD,,,,,,
Australia,36,Around 1985,1985,,1.89,22,94,143,87,26,4,0,27.7,Registration,National statistics,,,,,,
Australia,36,Around 1995,1995,,1.82,20,67,122,106,42,7,0,29.0,Registration,UNSD,,,,,,
Australia,36,Around 2005,2005,,1.79,16,52,102,117,60,11,0,30.1,Registration,National statistics,,,,,,
Australia,36,Latest,2010,,1.88,15,52,100,123,70,15,1,30.5,Registration,UNSD,,,,,,
Austria,40,Around 1970,1970,,2.31,61,159,111,78,41,11,1,26.6,Registration,UNSD,,,,,,
Austria,40,Around 1985,1985,,1.48,25,100,98,52,18,4,0,26.6,Registration,UNSD,,,,,,
Austria,40,Around 1995,1995,,1.41,17,75,100,62,23,4,0,27.7,Registration,UNSD,,,,,,
Austria,40,Around 2005,2005,,1.41,13,55,94,79,33,6,0,29.0,Registration,UNSD,,,,,,
Austria,40,Latest,2010,,1.44,10,48,90,89,42,8,0,29.8,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Azerbaijan,31,Around 1970,1970,,4.63,41,228,233,210,147,53,14,29.7,Registration,Eurostat,,,,,,
Azerbaijan,31,Around 1985,1985,,2.90,19,186,201,111,48,12,2,27.7,Registration,UNSD,,,,,,
Azerbaijan,31,Around 1995,1995,,2.19,40,167,132,66,27,6,1,26.3,Registration,UNSD,,,,,,
Azerbaijan,31,Around 2005,2005,,2.33,41,185,140,65,26,7,1,26.2,Registration,National statistics,,,,,,
Azerbaijan,31,Latest,2010,,1.93,48,142,114,55,21,5,1,25.9,Registration,UNSD,,,,"Excluding infants born alive of less than 28 weeks' gestation, of less than 1 000 grams in weight and 35 centimeters in length, who die within seven days of birth.",The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bahamas,44,Around 1970,1970,,3.38,69,188,203,104,77,31,4,27.8,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bahamas,44,Around 1985,1985,,2.48,68,136,143,98,38,12,1,26.9,Registration,UNSD,,,,,,
Bahamas,44,Around 1995,1995,,2.47,65,123,129,102,58,12,4,27.7,Registration,UNSD,,,,,,
Bahamas,44,Around 2005,2004,,1.90,46,99,94,77,50,12,2,27.9,Registration,National statistics,,,,,,
Bahamas,44,Latest,2007,,1.89,40,82,99,88,53,14,1,28.5,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bahrain,48,Around 1970,1971,,6.70,288,411,328,188,95,24,6,25.6,Census,National statistics,,,,,,
Bahrain,48,Around 1985,1985,,4.53,37,164,249,227,130,56,42,30.7,Registration,UNSD,,,,,,
Bahrain,48,Around 1995,1995,,3.01,22,113,145,146,113,48,15,31.0,Registration,UNSD,,,,,,
Bahrain,48,Around 2005,2005,,2.61,18,117,165,112,74,31,4,29.6,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bahrain,48,Latest,2008,,2.06,12,85,124,106,59,24,3,29.9,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bangladesh,50,Around 1970,1973,1971-1975,6.08,219,304,260,214,142,64,12,27.5,Survey,WFS,Bangladesh 1975-1976 World Fertility Survey,,,,,
Bangladesh,50,Around 1985,1985,1985-1986,4.61,130,248,201,160,117,48,18,28.1,Survey,National statistics,Bangladesh 1985-1986 Contraceptive Prevalence Survey,,,,,
Bangladesh,50,Around 1995,1995,1994-1997,3.26,147,192,150,96,44,18,6,25.8,Survey,DHS,Bangladesh 1996-1997 Demographic and Health Survey,,,,,
Bangladesh,50,Around 2005,2002,2001-2004,3.02,137,191,133,83,42,17,2,25.5,Survey,DHS,Bangladesh 2004 Demographic and Health Survey,,,,,
Bangladesh,50,Latest,2010,2008-2011,2.32,118,153,107,56,21,6,3,24.7,Survey,DHS,Bangladesh 2011 Demographic and Health Survey,,,Preliminary data.,,
Barbados,52,Around 1970,1970,,2.97,91,161,154,100,59,24,4,27.2,Registration,National statistics,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Barbados,52,Around 1985,1985,,1.86,57,108,104,63,33,7,0,26.6,Registration,UNSD,,,,,,
Barbados,52,Around 1995,1998,,1.74,52,86,76,66,60,7,1,27.8,Registration,CARICOM,,,,,,
Barbados,52,Around 2005,2002,,1.90,55,97,91,81,42,13,1,27.5,Registration,CARICOM,,,,,,
Barbados,52,Latest,2007,,1.83,49,94,88,74,45,15,1,27.8,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Belarus,112,Around 1970,1970,,2.36,28,175,129,85,42,12,1,27.3,Registration,UNSD,,,,,,
Belarus,112,Around 1985,1985,,2.08,33,174,125,58,22,4,0,26.0,Registration,UNSD,,,,,,
Belarus,112,Around 1995,1995,,1.38,39,123,72,30,11,2,0,24.9,Registration,UNSD,,,,,,
Belarus,112,Around 2005,2004,,1.20,22,89,75,39,13,2,0,26.2,Registration,UNSD,,,,,,
Belarus,112,Latest,2010,,1.51,21,90,102,62,23,4,0,27.3,Registration,National statistics,,,,"Excluding infants born alive of less than 28 weeks' gestation, of less than 1 000 grams in weight and 35 centimeters in length, who die within seven days of birth.",,
Belgium,56,Around 1970,1970,,2.24,31,149,143,78,36,10,1,27.2,Registration,UNSD,,,,,,
Belgium,56,Around 1985,1986,,1.55,12,89,131,60,17,3,0,27.4,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Belgium,56,Around 1995,1995,,1.56,10,62,131,81,24,4,0,28.5,Registration,National statistics,,,,,,
Belgium,56,Around 2005,2005,,1.75,10,35,106,118,73,9,0,30.9,Registration,National statistics,,,,,,
Belgium,56,Latest,2007,,1.82,11,58,135,109,43,8,0,29.4,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Belize,84,Around 1970,1970,,6.25,142,309,302,239,173,75,9,28.5,Registration,UNSD,,,,,,
Belize,84,Around 1985,1985,,5.02,130,282,252,174,119,41,6,27.6,Registration,UNSD,,,,,,
Belize,84,Around 1995,1995,,4.00,118,228,214,131,74,28,7,27.0,Registration,UNSD,,,,,,
Belize,84,Latest,2002,,3.40,90,193,172,123,71,27,4,27.4,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Benin,204,..,1961,,6.93,207,339,311,250,167,85,27,28.2,Survey,National statistics,Benin 1961 Enquête Démographique au Dahomey,,,,,
Benin,204,Around 1985,1980,1977-1982,7.08,151,314,329,278,193,99,51,29.4,Survey,WFS,Benin 1981-1982 World Fertility Survey,,,,,
Benin,204,Around 1995,1995,1993-1996,5.96,119,266,263,244,195,78,27,29.5,Survey,DHS,Benin 1996 Demographic and Health Survey,,,,,
Benin,204,Around 2005,2005,2003-2006,5.74,112,266,278,239,155,65,32,29.2,Survey,DHS,Benin 2006 Demographic and Health Survey,,,,,
Benin,204,Latest,2009,2008-2011,4.90,94,230,251,200,126,63,17,29.0,Survey,DHS,Benin 2011 Demographic and Health Survey,,,,,
Bermuda,60,Around 1970,1975,,1.86,62,96,112,66,27,7,1,26.5,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bermuda,60,Around 1985,1985,,1.85,34,102,124,76,31,3,0,27.2,Registration,UNSD,,,,,,
Bermuda,60,Around 1995,1995,,1.74,34,65,99,93,49,9,0,28.7,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bermuda,60,Around 2005,2003,,1.81,42,69,92,93,52,9,4,28.7,Registration,UNSD,,,,,,
Bermuda,60,Latest,2009,,1.81,18,59,84,108,76,15,2,30.5,Registration,UNSD,,,,,,
Bhutan,64,Around 1985,1984,,5.90,..,..,..,..,..,..,..,..,Survey,National statistics,Bhutan 1984 Demographic Sample Survey,,,,,
Bhutan,64,Around 1995,1993,1992-1994,5.59,120,267,242,195,174,95,24,29.4,Survey,National statistics,Bhutan 1994 National Health Survey,,,,,
Bhutan,64,Around 2005,2000,1999-2000,4.69,62,245,249,162,116,80,24,29.4,Survey,National statistics,Bhutan 2000 National Health Survey,,,,,
Bhutan,64,Latest,2005,,2.51,46,145,137,85,52,29,8,28.2,Census,National statistics,,,,,,
Bolivia (Plurinational State of),68,Around 1970,1975,1974-1975,6.81,77,254,356,300,215,103,57,30.7,Survey,National statistics,Bolivia 1975 Encuesta Demográfica Nacional,,,,,
Bolivia (Plurinational State of),68,Around 1985,1987,1986-1989,5.04,99,235,245,199,142,67,22,29.2,Survey,DHS,Bolivia 1989 Demographic and Health Survey,,,,,
Bolivia (Plurinational State of),68,Around 1995,1996,1995-1998,4.23,84,207,201,165,117,57,15,29.0,Survey,DHS,Bolivia 1998 Demographic and Health Survey,,,,,
Bolivia (Plurinational State of),68,Around 2005,2002,2001-2004,3.84,84,183,179,145,114,51,12,29.0,Survey,DHS,Bolivia 2003 Demographic and Health Survey,,,,,
Bolivia (Plurinational State of),68,Latest,2006,2005-2008,3.54,88,174,173,128,95,43,8,28.4,Survey,DHS,Bolivia 2008 Demographic and Health Survey,,,,,
Bosnia and Herzegovina,70,Around 1970,1970,,2.65,44,174,142,93,54,21,2,27.6,Registration,UNSD,,,,,,
Bosnia and Herzegovina,70,Around 1985,1985,,1.91,38,138,118,59,23,5,0,26.3,Registration,UNSD,,,,,,
Bosnia and Herzegovina,70,Around 1995,1996,,1.71,31,112,102,62,29,5,0,26.9,Registration,UNSD,,,,,,
Bosnia and Herzegovina,70,Around 2005,2005,,1.20,15,73,84,47,18,4,0,27.3,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bosnia and Herzegovina,70,Latest,2010,,1.27,14,59,86,67,24,4,0,28.3,Registration,UNSD,,,,,,
Botswana,72,Around 1970,1971,,6.50,96,277,276,243,198,138,71,30.8,Census,National statistics,,,,,,
Botswana,72,Around 1985,1986,1984-1987,4.54,108,182,181,171,140,93,32,30.0,Survey,National statistics,Botswana 1987 Demographic Survey,,,,,
Botswana,72,..,1987,1985-1988,4.86,129,209,200,183,141,75,36,29.4,Survey,DHS,Botswana 1988 Demographic and Health Survey,,,,,
Botswana,72,Around 2005,2001,,3.27,53,171,202,130,69,26,3,28.1,Census,National statistics,,,,Adjusted estimate.,,
Botswana,72,Latest,2006,,3.18,51,167,199,126,65,25,3,28.1,Survey,National statistics,Botswana 2006 Demographic Survey,,,,,
Brazil,76,Around 1970,1970,1969-1970,5.15,53,228,290,243,144,61,10,29.5,Census,National statistics,,,,,,
Brazil,76,Around 1985,1984,1983-1986,3.37,74,186,169,128,80,37,..,28.0,Survey,DHS,Brazil 1986 Demographic and Health Survey,,,,,
Brazil,76,Around 1995,1994,1993-1996,2.54,86,152,123,81,46,16,3,26.6,Survey,DHS,Brazil 1996 Demographic and Health Survey,,,,,
Brazil,76,Around 2005,2005,,2.01,80,121,96,62,32,10,1,26.0,Estimate,National statistics,,,,The estimates are based on vital registration data for federal states with more than 90 per cent of births registered and on estimates from censuses and surveys for the federal states with incomplete birth registration.,,
Brazil,76,Latest,2008,,1.84,71,100,88,64,35,10,1,26.4,Estimate,National statistics,,,,The estimates are based on vital registration data for federal states with more than 90 per cent of births registered and on estimates from censuses and surveys for the federal states with incomplete birth registration.,,
British Virgin Islands,92,Around 1970,1970,,3.57,110,..,..,..,..,..,..,..,Registration,National statistics,,,,,,
British Virgin Islands,92,Around 1985,1985,,1.92,42,103,106,73,33,27,,27.9,Registration,National statistics,,,Data shown for women aged 40 to 44 pertain to women aged 40 or over.,,,
British Virgin Islands,92,Around 1995,1997,,2.19,50,140,110,74,46,18,,27.3,Registration,National statistics,,,Data shown for women aged 40 to 44 pertain to women aged 40 or over.,,,
British Virgin Islands,92,Around 2005,2004,,1.99,43,124,94,83,41,12,,27.4,Registration,National statistics,,,Data shown for women aged 40 to 44 pertain to women aged 40 or over.,,,
British Virgin Islands,92,Latest,2007,,1.32,27,77,74,54,23,9,..,27.4,Registration,National statistics,,,Data shown for women aged 40 to 44 pertain to women aged 40 or over.,,,
Brunei Darussalam,96,Around 1970,1970,,5.84,78,323,302,232,153,57,23,28.9,Registration,UNSD,,,,,,
Brunei Darussalam,96,Around 1985,1985,,3.59,43,180,216,154,88,30,7,28.8,Registration,UNSD,,,,,,
Brunei Darussalam,96,Around 1995,1996,,2.74,30,110,141,140,92,30,4,29.9,Registration,UNSD,,,,,,
Brunei Darussalam,96,Around 2005,2002,,2.27,28,98,113,117,70,26,2,29.6,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Brunei Darussalam,96,Latest,2008,,1.76,18,74,113,80,51,14,1,29.2,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Bulgaria,100,Around 1970,1970,,2.17,71,189,112,45,15,3,0,24.7,Registration,UNSD,,,,,,
Bulgaria,100,Around 1985,1985,,1.97,77,180,93,33,10,2,0,24.0,Registration,UNSD,,,,,,
Bulgaria,100,Around 1995,1995,,1.23,52,100,61,23,8,2,0,24.2,Registration,UNSD,,,,,,
Bulgaria,100,Around 2005,2005,,1.31,38,79,81,47,14,2,0,26.1,Registration,UNSD,,,,,,
Bulgaria,100,Latest,2010,,1.49,41,74,88,65,26,4,0,27.1,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Burkina Faso,854,..,1976,,6.68,171,324,283,238,183,98,39,29.0,Survey,National statistics,Burkina Faso 1976 Enquête Post-Censitaire,,,,,
Burkina Faso,854,Around 1985,1985,1984-1985,7.18,152,328,321,279,215,104,38,29.4,Census,National statistics,,,,,,
Burkina Faso,854,Around 1995,1997,1996-1999,6.44,131,293,282,247,199,104,31,29.5,Survey,DHS,Burkina Faso 1998-1999 Demographic and Health Survey,,,,,
Burkina Faso,854,Around 2005,2002,2000-2003,5.88,119,265,256,233,177,92,35,29.6,Survey,DHS,Burkina Faso 2003 Demographic and Health Survey,,,,,
Burkina Faso,854,Latest,2009,2008-2011,6.00,130,264,269,237,189,87,23,29.4,Survey,DHS-MICS,Burkina Faso 2010 Demographic and Health Survey,,,,,
Burundi,108,Around 1970,1970,,6.13,51,252,299,273,218,108,26,30.7,Survey,National statistics,Burundi 1970-1971 Demographic Survey,,,,,
Burundi,108,Around 1985,1985,1984-1987,6.95,51,274,327,286,246,124,82,31.5,Survey,DHS,Burundi 1987 Demographic and Health Survey,,,,,
Burundi,108,Around 1995,1990,,6.69,33,254,318,299,249,131,53,31.5,Census,National statistics,,,,,,
Burundi,108,Around 2005,2001,1999-2002,5.60,30,200,280,260,200,120,30,31.4,Survey,National statistics,Burundi 2002 Enquête Socio-démographique et de Santé de la Reproduction,,,,,
Burundi,108,Latest,2009,2007-2010,6.38,65,281,302,269,225,104,31,30.4,Survey,DHS,Burundi 2010 Demographic and Health Survey,,,,,
Cambodia,116,..,1962,1961-1962,7.01,102,306,323,295,233,118,25,30.0,Census,National statistics,,,,,,
Cambodia,116,Around 1995,1993,1990-1995,5.64,90,243,271,239,187,98,0,29.6,Survey,National statistics,Cambodia 1995 KAP Survey on Fertility and Contraception,,,,,
Cambodia,116,..,1998,1997-2000,3.78,44,178,192,160,111,57,13,29.7,Survey,DHS,Cambodia 2000 Demographic and Health Survey,,,,,
Cambodia,116,Around 2005,2004,2002-2005,3.40,47,175,180,142,91,41,5,29.0,Survey,DHS,Cambodia 2005 Demographic and Health Survey,,,,,
Cambodia,116,Latest,2009,2007-2010,3.05,46,173,167,121,71,28,4,28.3,Survey,DHS,Cambodia 2010 Demographic and Health Survey,,,,,
Cameroon,120,..,1976,1973-1978,6.38,186,295,277,220,155,106,36,28.8,Survey,WFS,Cameroon 1978 World Fertility Survey,,,,,
Cameroon,120,Around 1985,1989,1988-1991,5.82,164,282,260,228,149,62,20,28.3,Survey,DHS,Cameroon 1991 Demographic and Health Survey,,,,,
Cameroon,120,Around 1995,1996,1995-1998,4.80,137,226,221,185,123,49,20,28.3,Survey,DHS,Cameroon 1998 Demographic and Health Survey,,,,,
Cameroon,120,Around 2005,2002,2001-2004,4.97,138,236,231,194,126,53,16,28.3,Survey,DHS,Cameroon 2004 Demographic and Health Survey,,,,,
Cameroon,120,Latest,2010,2008-2011,5.09,127,232,250,207,129,57,16,28.6,Survey,DHS-MICS,Cameroon 2011 Demographic and Health Survey,,,Preliminary data.,,
Canada,124,Around 1970,1970,,2.26,42,138,142,79,38,11,1,27.2,Registration,UNSD,,,,,,
Canada,124,Around 1985,1985,,1.65,23,85,123,73,21,3,0,27.4,Registration,UNSD,,,,,,
Canada,124,Around 1995,1995,,1.64,24,71,110,87,31,5,0,28.2,Registration,UNSD,,,,,,
Canada,124,Around 2005,2005,,1.55,13,52,98,98,42,7,0,29.5,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Canada,124,Latest,2009,,1.67,14,51,101,107,51,9,0,29.9,Registration,UNSD,,,,Postcensal estimates.,,
Cape Verde,132,Around 1970,1970,1969-1972,5.66,..,..,..,..,..,..,..,..,Census,National statistics,,,,,,
Cape Verde,132,Around 1985,1980,1979-1980,7.00,54,244,323,305,275,160,38,31.6,Census,National statistics,,,,,,
Cape Verde,132,Around 1995,1996,1995-1998,4.03,100,196,190,150,109,59,2,28.5,Survey,RHS,Cape Verde 1998 Demographic and Reproductive Health Survey,,,,,
Cape Verde,132,Around 2005,2000,,3.98,92,186,172,148,115,63,20,29.2,Census,National statistics,,,,,,
Cape Verde,132,Latest,2004,2002-2005,2.90,90,145,139,98,66,36,6,27.8,Survey,RHS,Cape Verde 2005 Demographic and Reproductive Health Survey,,,,,
Cayman Islands,136,Around 1970,1970,,4.24,107,143,183,204,111,74,27,29.9,Census,National statistics,,,,,,
Cayman Islands,136,Around 1985,1986,,1.79,55,103,114,51,27,8,0,26.3,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Cayman Islands,136,Around 1995,1994,,1.66,62,87,73,76,24,7,4,26.7,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Cayman Islands,136,Around 2005,2009,,1.87,32,82,95,101,48,15,0,28.8,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Cayman Islands,136,Latest,2010,,1.89,32,89,85,95,62,10,5,29.0,Registration,UNSD,,,,,The number of women by age is estimated by the United Nations Population Division and published in the World Population Prospects Revision 2010.,
Central African Republic,140,Around 1970,1975,1974-1975,5.84,172,278,251,209,136,78,45,28.7,Census,National statistics,,,,,,
Central African Republic,140,Around 1985,1988,1987-1988,6.07,170,260,247,208,147,99,83,29.7,Census,National statistics,,,,,,
Central African Republic,140,Around 1995,1993,1991-1994,5.08,155,237,231,192,117,60,23,28.2,Survey,DHS,Central African Republic 1994-1995 Demographic and Health Survey,,,,,
Central African Republic,140,Latest,2003,,5.15,133,220,221,191,144,80,41,29.4,Census,National statistics,,,,Adjusted estimate.,,
Chad,148,..,1963,,5.08,162,268,218,159,122,60,26,28.0,Survey,National statistics,Chad 1963-1964 Population Survey,,,,,
Chad,148,Around 1995,1995,1994-1997,6.37,190,304,300,242,156,67,15,28.0,Survey,DHS,Chad 1996-1997 Demographic and Health Survey,,,,,
